nr;Potje staart vetzuuranalyse;Potje Maaginhoud;Vetzuuranalyse;datum;Locatie;Gewicht Glasaal;Gewicht maag-darmstelsel;Opmerkingen;Microplastics/Contaminatie/vezels (katoen?);;Cladocera sp.;;Annelida;;Polychaete;;Isopoda;;Diptera sp.;;Chironomide thummi-plummosus;;Crustaceae sp.;;Cyclopoida sp.;;Invertebrata (larve) sp.;;Daphnidae sp. (ingekapseld);;Cladocera sp. (Chydorus sphaericus);;Amphipoda sp.;;Calanoide Copepode (Pseudocalanus elongatus);;Gammarus;;Calanoide copepode;;unidentifiable eggs;;Copepoda sp.;;Copepoda (Oithona similis, male);;Harpacticoid Copepod;;Pleuroxus sp.;;Chydorus sp.;;Detritus/plantenafval;;Plantae sp.;;Pennate diatomee;;Detritus met schimmelfilamenten;;Invertebrate sp.;;Hexapode sp. ();;keverlarve;;Chironomide (Non thummi plumosus);;Nereis sp.;;Amphipode (Atylus sp.);;Chironomide sp.;;Simulium sp.;;
271;B;5;;24/05/2017;PG-LO-SU;0,256;0,031;Blauwe vezel duidelijk uit de maag (geteld als microplastic) -> kleur trok eruit door ethanol, verdere analyse;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
42;B;6;;24/03/2017;PG-LO-PA;0,194;0,0079;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
38;B;6;;24/03/2017;PG-LO-PA;0,115;0,003;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
57;B;6;;24/03/2017;PG-LO-SU;0,045;0,0015;Vis te uitgedroogd om goeie waarneming te kunnen doen;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
267;B;6;;24/05/2017;PG-LO-SU;0,234;0,0229;;1;;0;;0;;4;;0;;0;;0;;0;;52;;0;;0;;13;;1;;0;;0;;0;;0;;12;;0;;13;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
65;B;6;;31/03/2017;PG-RO-PA;0,200;0,0051;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
8;B;6;;11/03/2017;PG-KR;0,117;0,0044;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
59;B;6;;24/03/2017;PG-KR;0,215;0,0077;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
22;B;6;;17/03/2017;PG-LO-PA;0,201;0,0055;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
20;B;6;;17/03/2017;PG-LO-PA;0,182;0,0064;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
46;B;6;;24/03/2017;GA-SU;0,254;0,007;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
17;C;6;;17/03/2017;PG-LO-PA;0,196;0,0074;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
194;C;6;;28/04/2017;PG-LO-SU;0,200;0,0152;;1;;0;;0;;1;;0;;0;;0;;0;;65;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
178;C;7;;28/04/2017;PG-RO-PA;0,247;0,0121;;0;;0;;0;;0;;0;;0;;0;;0;;21;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
142;C;7;;15/04/2017;PG-KR;0,093;0,0037;Vis volledig uitgedroogd, toch niet echt maaginhoud;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
130;C;7;;14/04/2017;GA-SU;0,117;0,0037;Vis volledig uitgedroogd, toch niet echt maaginhoud;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
149;C;7;;21/04/2017;PG-LO-PA;0,153;0,0071;;0;;0;;0;;0;;0;;0;;0;;0;;13;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
66;C;7;;31/03/2017;PG-RO-PA;0,096;0,0015;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
12;C;7;;17/03/2017;PG-RO-PA;0,2101;0,0064;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
187;C;7;;28/04/2017;PG-RO-SU;0,212;0,0181;;1;;0;;0;;1;;0;;0;;0;;0;;56;;0;;0;;0;;0;;0;;0;;0;;0;;7;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
119;C;7;;14/04/2017;PG-LO-PA;0,220;0,0117;;0;;0;;0;;0;;0;;0;;0;;0;;7;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
241;C;7;;19/05/2017;PG-LO-PA;0,161;0,0123;Moeilijke determinatie in potje 'verder onderzoek', ook een hexapode ;1;;0;;0;;2;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;3;;0;;0;;1;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;
84;C;7;;1/04/2017;PG-KR;0,236;0,0085;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
206;C;7;;5/05/2017;SC-RO-SU;0,206;0,0142;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;1;;1;;0;;0;;0;;0;;
116;C;7;;7/04/2017;PG-KR;0,178;0,0057;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
253;C;8;;19/05/2017;MI-RO-SU;0,293;0,0325;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
222;C;8;;12/05/2017;SC-RO-SU;0,244;0,0226;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
122;C;8;;14/04/2017;PG-RO-PA;0,221;0,0091;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
96;C;8;;7/04/2017;PG-LO-PA;0,234;0,0104;veel maagprut ingezameld;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
109;C;8;;7/04/2017;PG-RO-SU;0,133;0,0076;onbekend beest morgen eens checken;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
145;C;8;;15/04/2017;PG-KR;0,154;0,0044;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
110;C;8;;7/04/2017;PG-RO-SU;0,210;0,01;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
121;C;8;;14/04/2017;PG-LO-PA;0,196;0,0131;;1;;0;;0;;1;;0;;0;;0;;0;;29;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
226;C;8;;12/05/2017;MI-RO-SU;0,205;0,0316;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;
67;C;8;;31/03/2017;PG-RO-PA;0,189;0,0062;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
120;C;8;;14/04/2017;PG-LO-PA;0,173;0,0096;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
148;C;8;;21/04/2017;PG-LO-PA;0,169;0,0057;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
195;C;9;;28/04/2017;PG-LO-SU;0,214;0,0252;Onbekende structuur voor verder onderzoek;1;;0;;0;;1;;0;;0;;0;;0;;124;;0;;0;;0;;0;;0;;0;;0;;0;;6;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
103;C;9;;7/04/2017;PG-LO-SU;0,180;0,0051;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
71;C;9;;31/03/2017;PG-LO-PA;0,228;0,0064;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
76;C;9;;31/03/2017;PG-RO-SU;0,124;0,003;Vis volledig uitgedroogd ;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
98;C;9;;7/04/2017;GA-SU;0,163;0,0082;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
111;C;9;;7/04/2017;PG-RO-SU;0,188;0,0126;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
218;C;9;;12/05/2017;PG-PA-RO;0,126;0,0135;Veel inhoud alles nagenoeg onherkenbaar;1;;0;;0;;0;;0;;0;;0;;0;;2;;0;;5;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
108;C;9;;7/04/2017;PG-RO-SU;0,194;0,0095;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
64;D;9;;31/03/2017;PG-RO-PA;0,169;0,008;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
167;D;9;;21/04/2017;MI-RO-SU;0,135;0,0056;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
230;D;9;;12/05/2017;MI-RO-SU;0,208;0,0191;;1;;0;;0;;0;;0;;0;;0;;0;;6;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
168;D;9;;21/04/2017;MI-RO-SU;0,189;0,0138;;1;;0;;0;;2;;0;;0;;0;;0;;5;;0;;0;;0;;0;;0;;0;;0;;0;;4;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
128;D;10;;14/04/2017;GA-SU;0,216;0,0088;Onbekende structuur voor verder onderzoek;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
166;D;10;;21/04/2017;GA-SU;0,172;0,0064;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
252;D;10;;19/05/2017;MI-RO-SU;0,218;0,0241;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
144;D;10;;15/04/2017;PG-KR;0,198;0,0082;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
69;D;10;;31/03/2017;PG-LO-PA;0,173;0,0069;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
115;D;10;;7/04/2017;PG-KR;0,200;0,0095;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
101;D;10;;7/04/2017;GA-SU;0,123;0,0049;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
250;D;10;;19/05/2017;SC-LO-SU;0,304;0,0379;Amphipode zit apart voor verder onderzoek;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;
86;D;10;;1/04/2017;PG-KR;0,222;0,0064;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
162;D;10;;21/04/2017;GA-SU;0,123;0,0085;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
202;D;10;;5/05/2017;PG-RO-PA;0,177;0,0152;;0;;0;;0;;1;;0;;0;;0;;0;;12;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
88;D;10;;7/04/2017;PG-RO-PA;0,261;0,009;Mss hoge gewicht door lang te weken in water;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
200;D;11;;5/05/2017;PG-LO-PA;0,094;0,0084;;0;;2;;0;;1;;0;;0;;0;;0;;10;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
150;D;11;Y;21/04/2017;PG-LO-PA;0,138;0,0074;;0;;0;;0;;0;;0;;0;;0;;0;;9;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
157;D;11;Y;21/04/2017;PG-LO-SU;0,157;0,0107;;0;;0;;0;;0;;0;;0;;0;;0;;10;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
89;D;11;Y;7/04/2017;PG-RO-PA;0,073;0,0019;vis volledig uitgedroogd;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
258;D;11;Y;24/05/2017;PG-LO-PA;0,259;0,0164;;0;;4;;0;;2;;0;;0;;0;;0;;4;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;1;;
207;D;11;Y;5/05/2017;SC-RO-SU;0,171;0,0106;;0;;0;;0;;1;;0;;0;;0;;0;;8;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
208;D;11;Y;5/05/2017;SC-RO-SU;0,143;0,0182;;0;;0;;0;;0;;0;;0;;0;;0;;5;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
118;D;11;Y;14/04/2017;PG-LO-PA;0,175;0,0072;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
232;D;11;Y;12/05/2017;PG-LO-PA;0,229;0,0202;;0;;0;;0;;0;;0;;0;;0;;0;;9;;0;;0;;0;;0;;0;;0;;0;;2;;2;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
91;D;11;;7/04/2017;PG-RO-PA;0,245;0,0107;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
185;D;11;Y;28/04/2017;PG-LO-PA;0,245;0,019;;0;;0;;0;;0;;0;;0;;0;;0;;60;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
39;D;11;;7/04/2017;GA-SU;0,167;0,0102;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
93;D;12;Y;7/04/2017;PG-LO-PA;0,136;0,0059;vis volledig uitgedroogd;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
